contractor,mine_id,mine_name,date,present
Moonidih Contractor A,3,Moonidih UG,2026-08-12,107
Moonidih Contractor A,3,Moonidih UG,2026-08-13,105
Moonidih Contractor A,3,Moonidih UG,2026-08-14,107
Moonidih Contractor A,3,Moonidih UG,2026-08-15,101
Moonidih Contractor A,3,Moonidih UG,2026-08-16,99
Moonidih Contractor A,3,Moonidih UG,2026-08-17,103
Moonidih Contractor A,3,Moonidih UG,2026-08-18,97
Moonidih Contractor A,3,Moonidih UG,2026-08-19,100
Moonidih Contractor A,3,Moonidih UG,2026-08-20,99
Moonidih Contractor A,3,Moonidih UG,2026-08-21,92
Moonidih Contractor A,3,Moonidih UG,2026-08-22,200
Moonidih Contractor A,3,Moonidih UG,2026-08-23,97
Moonidih Contractor A,3,Moonidih UG,2026-08-24,98
Moonidih Contractor A,3,Moonidih UG,2026-08-25,101
Moonidih Contractor A,3,Moonidih UG,2026-08-26,106
Moonidih Contractor A,3,Moonidih UG,2026-08-27,95
Moonidih Contractor A,3,Moonidih UG,2026-08-28,98
Moonidih Contractor A,3,Moonidih UG,2026-08-29,96
Moonidih Contractor A,3,Moonidih UG,2026-08-30,95
Moonidih Contractor A,3,Moonidih UG,2026-08-31,97
Moonidih Contractor A,3,Moonidih UG,2026-09-01,99
Moonidih Contractor A,3,Moonidih UG,2026-09-02,102
Moonidih Contractor A,3,Moonidih UG,2026-09-03,101
Moonidih Contractor A,3,Moonidih UG,2026-09-04,94
Moonidih Contractor A,3,Moonidih UG,2026-09-05,106
Moonidih Contractor A,3,Moonidih UG,2026-09-06,104
Moonidih Contractor A,3,Moonidih UG,2026-09-07,95
Moonidih Contractor A,3,Moonidih UG,2026-09-08,212
Moonidih Contractor A,3,Moonidih UG,2026-09-09,101
Moonidih Contractor A,3,Moonidih UG,2026-09-10,99
Moonidih Contractor A,3,Moonidih UG,2026-09-11,101
Moonidih Contractor A,3,Moonidih UG,2026-09-12,99
Moonidih Contractor A,3,Moonidih UG,2026-09-13,102
Moonidih Contractor A,3,Moonidih UG,2026-09-14,100
Moonidih Contractor A,3,Moonidih UG,2026-09-15,98
Moonidih Contractor A,3,Moonidih UG,2026-09-16,89
Moonidih Contractor A,3,Moonidih UG,2026-09-17,102
Moonidih Contractor A,3,Moonidih UG,2026-09-18,98
Moonidih Contractor A,3,Moonidih UG,2026-09-19,103
Moonidih Contractor A,3,Moonidih UG,2026-09-20,102
Moonidih Contractor A,3,Moonidih UG,2026-09-21,98
Moonidih Contractor B,3,Moonidih UG,2026-06-01,90
Moonidih Contractor B,3,Moonidih UG,2026-06-02,86
Moonidih Contractor B,3,Moonidih UG,2026-06-03,85
Moonidih Contractor B,3,Moonidih UG,2026-06-04,84
Moonidih Contractor B,3,Moonidih UG,2026-06-05,93
Moonidih Contractor B,3,Moonidih UG,2026-06-06,81
Moonidih Contractor B,3,Moonidih UG,2026-06-07,83
Moonidih Contractor B,3,Moonidih UG,2026-06-08,78
Moonidih Contractor B,3,Moonidih UG,2026-06-09,88
Moonidih Contractor B,3,Moonidih UG,2026-06-10,82
Moonidih Contractor B,3,Moonidih UG,2026-06-11,82
Moonidih Contractor B,3,Moonidih UG,2026-06-12,82
Moonidih Contractor B,3,Moonidih UG,2026-06-13,85
Moonidih Contractor B,3,Moonidih UG,2026-06-14,78
Moonidih Contractor B,3,Moonidih UG,2026-06-15,73
Moonidih Contractor B,3,Moonidih UG,2026-06-16,87
Moonidih Contractor B,3,Moonidih UG,2026-06-17,74
Moonidih Contractor B,3,Moonidih UG,2026-06-18,89
Moonidih Contractor B,3,Moonidih UG,2026-06-19,92
Moonidih Contractor B,3,Moonidih UG,2026-06-20,84
Moonidih Contractor B,3,Moonidih UG,2026-06-21,91
Moonidih Contractor B,3,Moonidih UG,2026-06-22,84
Moonidih Contractor B,3,Moonidih UG,2026-06-23,92
Moonidih Contractor B,3,Moonidih UG,2026-06-24,82
Moonidih Contractor B,3,Moonidih UG,2026-06-25,73
Moonidih Contractor B,3,Moonidih UG,2026-06-26,84
Moonidih Contractor B,3,Moonidih UG,2026-06-27,93
Moonidih Contractor B,3,Moonidih UG,2026-06-28,87
Moonidih Contractor B,3,Moonidih UG,2026-06-29,82
Moonidih Contractor B,3,Moonidih UG,2026-06-30,86
Moonidih Contractor B,3,Moonidih UG,2026-07-01,89
Moonidih Contractor B,3,Moonidih UG,2026-07-02,84
Moonidih Contractor B,3,Moonidih UG,2026-07-03,98
Moonidih Contractor B,3,Moonidih UG,2026-07-04,82
Moonidih Contractor B,3,Moonidih UG,2026-07-05,90
Moonidih Contractor B,3,Moonidih UG,2026-07-06,88
Moonidih Contractor B,3,Moonidih UG,2026-07-07,81
Moonidih Contractor B,3,Moonidih UG,2026-07-08,82
Moonidih Contractor B,3,Moonidih UG,2026-07-09,90
Moonidih Contractor B,3,Moonidih UG,2026-07-10,85
Moonidih Contractor B,3,Moonidih UG,2026-07-11,86
Moonidih Contractor B,3,Moonidih UG,2026-07-12,76
Moonidih Contractor B,3,Moonidih UG,2026-07-13,88
Moonidih Contractor B,3,Moonidih UG,2026-07-14,86
Moonidih Contractor B,3,Moonidih UG,2026-07-15,84
Moonidih Contractor B,3,Moonidih UG,2026-07-16,86
Moonidih Contractor B,3,Moonidih UG,2026-07-17,82
Moonidih Contractor B,3,Moonidih UG,2026-07-18,82
Moonidih Contractor B,3,Moonidih UG,2026-07-19,83
Moonidih Contractor B,3,Moonidih UG,2026-07-20,82
Moonidih Contractor B,3,Moonidih UG,2026-07-21,95
Moonidih Contractor B,3,Moonidih UG,2026-07-22,89
Moonidih Contractor B,3,Moonidih UG,2026-07-23,80
Moonidih Contractor B,3,Moonidih UG,2026-07-24,95
Moonidih Contractor B,3,Moonidih UG,2026-07-25,82
Moonidih Contractor B,3,Moonidih UG,2026-07-26,85
Moonidih Contractor B,3,Moonidih UG,2026-07-27,89
Moonidih Contractor B,3,Moonidih UG,2026-07-28,75
Moonidih Contractor B,3,Moonidih UG,2026-07-29,83
Moonidih Contractor B,3,Moonidih UG,2026-07-30,82
Moonidih Contractor B,3,Moonidih UG,2026-07-31,86
Moonidih Contractor B,3,Moonidih UG,2026-08-01,86
Moonidih Contractor B,3,Moonidih UG,2026-08-02,84
Moonidih Contractor B,3,Moonidih UG,2026-08-03,84
Moonidih Contractor B,3,Moonidih UG,2026-08-04,90
Moonidih Contractor B,3,Moonidih UG,2026-08-05,86
Moonidih Contractor B,3,Moonidih UG,2026-08-06,85
Moonidih Contractor B,3,Moonidih UG,2026-08-07,85
Moonidih Contractor B,3,Moonidih UG,2026-08-08,94
Moonidih Contractor B,3,Moonidih UG,2026-08-09,85
Moonidih Contractor B,3,Moonidih UG,2026-08-10,82
Moonidih Contractor B,3,Moonidih UG,2026-08-11,75
Moonidih Contractor B,3,Moonidih UG,2026-08-12,77
Moonidih Contractor B,3,Moonidih UG,2026-08-13,82
Moonidih Contractor B,3,Moonidih UG,2026-08-14,84
Moonidih Contractor B,3,Moonidih UG,2026-08-15,82
Moonidih Contractor B,3,Moonidih UG,2026-08-16,86
Moonidih Contractor B,3,Moonidih UG,2026-08-17,82
Moonidih Contractor B,3,Moonidih UG,2026-08-18,80
Moonidih Contractor B,3,Moonidih UG,2026-08-19,88
Moonidih Contractor B,3,Moonidih UG,2026-08-20,91
Moonidih Contractor B,3,Moonidih UG,2026-08-21,79
Moonidih Contractor B,3,Moonidih UG,2026-08-22,86
Moonidih Contractor B,3,Moonidih UG,2026-08-23,75
Moonidih Contractor B,3,Moonidih UG,2026-08-24,77
Moonidih Contractor B,3,Moonidih UG,2026-08-25,82
Moonidih Contractor B,3,Moonidih UG,2026-08-26,90
Moonidih Contractor B,3,Moonidih UG,2026-08-27,81
Moonidih Contractor B,3,Moonidih UG,2026-08-28,80
Moonidih Contractor B,3,Moonidih UG,2026-08-29,85
Moonidih Contractor B,3,Moonidih UG,2026-08-30,85
Moonidih Contractor B,3,Moonidih UG,2026-08-31,81
Moonidih Contractor B,3,Moonidih UG,2026-09-01,94
Moonidih Contractor B,3,Moonidih UG,2026-09-02,83
Moonidih Contractor B,3,Moonidih UG,2026-09-03,85
Moonidih Contractor B,3,Moonidih UG,2026-09-04,82
Moonidih Contractor B,3,Moonidih UG,2026-09-05,87
Moonidih Contractor B,3,Moonidih UG,2026-09-06,91
Moonidih Contractor B,3,Moonidih UG,2026-09-07,93
Moonidih Contractor B,3,Moonidih UG,2026-09-08,81
Moonidih Contractor B,3,Moonidih UG,2026-09-09,90
Moonidih Contractor B,3,Moonidih UG,2026-09-10,87
Moonidih Contractor B,3,Moonidih UG,2026-09-11,89
Moonidih Contractor B,3,Moonidih UG,2026-09-12,84
Moonidih Contractor B,3,Moonidih UG,2026-09-13,84
Moonidih Contractor B,3,Moonidih UG,2026-09-14,89
Moonidih Contractor B,3,Moonidih UG,2026-09-15,89
Moonidih Contractor B,3,Moonidih UG,2026-09-16,92
Moonidih Contractor B,3,Moonidih UG,2026-09-17,85
Moonidih Contractor B,3,Moonidih UG,2026-09-18,84
Moonidih Contractor B,3,Moonidih UG,2026-09-19,72
Moonidih Contractor B,3,Moonidih UG,2026-09-20,76
Moonidih Contractor B,3,Moonidih UG,2026-09-21,83
Kusunda Contractor A,1,Kusunda OCP,2026-06-01,114
Kusunda Contractor A,1,Kusunda OCP,2026-06-02,124
Kusunda Contractor A,1,Kusunda OCP,2026-06-03,113
Kusunda Contractor A,1,Kusunda OCP,2026-06-04,117
Kusunda Contractor A,1,Kusunda OCP,2026-06-05,117
Kusunda Contractor A,1,Kusunda OCP,2026-06-06,126
Kusunda Contractor A,1,Kusunda OCP,2026-06-07,116
Kusunda Contractor A,1,Kusunda OCP,2026-06-08,122
Kusunda Contractor A,1,Kusunda OCP,2026-06-09,120
Kusunda Contractor A,1,Kusunda OCP,2026-06-10,124
Kusunda Contractor A,1,Kusunda OCP,2026-06-11,124
Kusunda Contractor A,1,Kusunda OCP,2026-06-12,119
Kusunda Contractor A,1,Kusunda OCP,2026-06-13,111
Kusunda Contractor A,1,Kusunda OCP,2026-06-14,118
Kusunda Contractor A,1,Kusunda OCP,2026-06-15,119
Kusunda Contractor A,1,Kusunda OCP,2026-06-16,121
Kusunda Contractor A,1,Kusunda OCP,2026-06-17,116
Kusunda Contractor A,1,Kusunda OCP,2026-06-18,125
Kusunda Contractor A,1,Kusunda OCP,2026-06-19,120
Kusunda Contractor A,1,Kusunda OCP,2026-06-20,115
Kusunda Contractor A,1,Kusunda OCP,2026-06-21,117
Kusunda Contractor A,1,Kusunda OCP,2026-06-22,129
Kusunda Contractor A,1,Kusunda OCP,2026-06-23,123
Kusunda Contractor A,1,Kusunda OCP,2026-06-24,125
Kusunda Contractor A,1,Kusunda OCP,2026-06-25,114
Kusunda Contractor A,1,Kusunda OCP,2026-06-26,116
Kusunda Contractor A,1,Kusunda OCP,2026-06-27,116
Kusunda Contractor A,1,Kusunda OCP,2026-06-28,120
Kusunda Contractor A,1,Kusunda OCP,2026-06-29,119
Kusunda Contractor A,1,Kusunda OCP,2026-06-30,117
Kusunda Contractor A,1,Kusunda OCP,2026-07-01,118
Kusunda Contractor A,1,Kusunda OCP,2026-07-02,116
Kusunda Contractor A,1,Kusunda OCP,2026-07-03,119
Kusunda Contractor A,1,Kusunda OCP,2026-07-04,125
Kusunda Contractor A,1,Kusunda OCP,2026-07-05,112
Kusunda Contractor A,1,Kusunda OCP,2026-07-06,121
Kusunda Contractor A,1,Kusunda OCP,2026-07-07,126
Kusunda Contractor A,1,Kusunda OCP,2026-07-08,119
Kusunda Contractor A,1,Kusunda OCP,2026-07-09,117
Kusunda Contractor A,1,Kusunda OCP,2026-07-10,124
Kusunda Contractor A,1,Kusunda OCP,2026-07-11,115
Kusunda Contractor A,1,Kusunda OCP,2026-07-12,119
Kusunda Contractor A,1,Kusunda OCP,2026-07-13,114
Kusunda Contractor A,1,Kusunda OCP,2026-07-14,110
Kusunda Contractor A,1,Kusunda OCP,2026-07-15,119
Kusunda Contractor A,1,Kusunda OCP,2026-07-16,113
Kusunda Contractor A,1,Kusunda OCP,2026-07-17,119
Kusunda Contractor A,1,Kusunda OCP,2026-07-18,125
Kusunda Contractor A,1,Kusunda OCP,2026-07-19,129
Kusunda Contractor A,1,Kusunda OCP,2026-07-20,120
Kusunda Contractor A,1,Kusunda OCP,2026-07-21,125
Kusunda Contractor A,1,Kusunda OCP,2026-07-22,121
Kusunda Contractor A,1,Kusunda OCP,2026-07-23,118
Kusunda Contractor A,1,Kusunda OCP,2026-07-24,110
Kusunda Contractor A,1,Kusunda OCP,2026-07-25,128
Kusunda Contractor A,1,Kusunda OCP,2026-07-26,114
Kusunda Contractor A,1,Kusunda OCP,2026-07-27,126
Kusunda Contractor A,1,Kusunda OCP,2026-07-28,122
Kusunda Contractor A,1,Kusunda OCP,2026-07-29,115
Kusunda Contractor A,1,Kusunda OCP,2026-07-30,121
Kusunda Contractor A,1,Kusunda OCP,2026-07-31,130
Kusunda Contractor A,1,Kusunda OCP,2026-08-01,127
Kusunda Contractor A,1,Kusunda OCP,2026-08-02,117
Kusunda Contractor A,1,Kusunda OCP,2026-08-03,116
Kusunda Contractor A,1,Kusunda OCP,2026-08-04,120
Kusunda Contractor A,1,Kusunda OCP,2026-08-05,119
Kusunda Contractor A,1,Kusunda OCP,2026-08-06,125
Kusunda Contractor A,1,Kusunda OCP,2026-08-07,123
Kusunda Contractor A,1,Kusunda OCP,2026-08-08,111
Kusunda Contractor A,1,Kusunda OCP,2026-08-09,122
Kusunda Contractor A,1,Kusunda OCP,2026-08-10,119
Kusunda Contractor A,1,Kusunda OCP,2026-08-11,120
Kusunda Contractor A,1,Kusunda OCP,2026-08-12,121
Kusunda Contractor A,1,Kusunda OCP,2026-08-13,125
Kusunda Contractor A,1,Kusunda OCP,2026-08-14,124
Kusunda Contractor A,1,Kusunda OCP,2026-08-15,116
Kusunda Contractor A,1,Kusunda OCP,2026-08-16,119
Kusunda Contractor A,1,Kusunda OCP,2026-08-17,117
Kusunda Contractor A,1,Kusunda OCP,2026-08-18,111
Kusunda Contractor A,1,Kusunda OCP,2026-08-19,119
Kusunda Contractor A,1,Kusunda OCP,2026-08-20,129
Kusunda Contractor A,1,Kusunda OCP,2026-08-21,111
Kusunda Contractor A,1,Kusunda OCP,2026-08-22,119
Kusunda Contractor A,1,Kusunda OCP,2026-08-23,119
Kusunda Contractor A,1,Kusunda OCP,2026-08-24,121
Kusunda Contractor A,1,Kusunda OCP,2026-08-25,115
Kusunda Contractor A,1,Kusunda OCP,2026-08-26,112
Kusunda Contractor A,1,Kusunda OCP,2026-08-27,113
Kusunda Contractor A,1,Kusunda OCP,2026-08-28,126
Kusunda Contractor A,1,Kusunda OCP,2026-08-29,115
Kusunda Contractor A,1,Kusunda OCP,2026-08-30,117
Kusunda Contractor A,1,Kusunda OCP,2026-08-31,130
Kusunda Contractor A,1,Kusunda OCP,2026-09-01,116
Kusunda Contractor A,1,Kusunda OCP,2026-09-02,121
Kusunda Contractor A,1,Kusunda OCP,2026-09-03,125
Kusunda Contractor A,1,Kusunda OCP,2026-09-04,125
Kusunda Contractor A,1,Kusunda OCP,2026-09-05,113
Kusunda Contractor A,1,Kusunda OCP,2026-09-06,116
Kusunda Contractor A,1,Kusunda OCP,2026-09-07,121
Kusunda Contractor A,1,Kusunda OCP,2026-09-08,129
Kusunda Contractor A,1,Kusunda OCP,2026-09-09,116
Kusunda Contractor A,1,Kusunda OCP,2026-09-10,117
Kusunda Contractor A,1,Kusunda OCP,2026-09-11,122
Kusunda Contractor A,1,Kusunda OCP,2026-09-12,123
Kusunda Contractor A,1,Kusunda OCP,2026-09-13,123
Kusunda Contractor A,1,Kusunda OCP,2026-09-14,115
Kusunda Contractor A,1,Kusunda OCP,2026-09-15,117
Kusunda Contractor A,1,Kusunda OCP,2026-09-16,121
Kusunda Contractor A,1,Kusunda OCP,2026-09-17,126
Kusunda Contractor A,1,Kusunda OCP,2026-09-18,118
Kusunda Contractor A,1,Kusunda OCP,2026-09-19,119
Kusunda Contractor A,1,Kusunda OCP,2026-09-20,114
Kusunda Contractor A,1,Kusunda OCP,2026-09-21,129
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-01,100
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-02,105
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-03,100
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-04,100
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-05,92
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-06,89
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-07,106
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-08,100
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-09,101
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-10,93
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-11,95
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-12,105
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-13,108
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-14,96
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-15,103
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-16,100
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-17,99
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-18,109
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-19,97
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-20,106
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-21,101
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-22,99
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-23,106
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-24,101
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-25,99
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-26,106
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-27,106
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-28,106
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-29,80
Bastacolla Contractor A,2,Bastacolla OCP,2026-06-30,102
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-01,101
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-02,99
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-03,103
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-04,101
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-05,103
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-06,98
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-07,107
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-08,103
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-09,102
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-10,102
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-11,105
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-12,105
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-13,99
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-14,104
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-15,100
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-16,109
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-17,105
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-18,96
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-19,111
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-20,89
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-21,103
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-22,96
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-23,109
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-24,101
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-25,96
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-26,98
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-27,96
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-28,98
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-29,98
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-30,96
Bastacolla Contractor A,2,Bastacolla OCP,2026-07-31,101
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-01,101
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-02,95
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-03,91
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-04,101
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-05,102
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-06,103
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-07,102
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-08,107
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-09,104
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-10,113
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-11,115
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-12,91
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-13,89
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-14,99
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-15,102
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-16,99
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-17,103
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-18,98
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-19,96
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-20,97
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-21,98
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-22,104
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-23,97
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-24,98
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-25,102
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-26,99
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-27,105
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-28,95
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-29,94
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-30,101
Bastacolla Contractor A,2,Bastacolla OCP,2026-08-31,102
Bastacolla Contractor A,2,Bastacolla OCP,2026-09-01,95
Bastacolla Contractor A,2,Bastacolla OCP,2026-09-02,106
Bastacolla Contractor A,2,Bastacolla OCP,2026-09-03,109
Bastacolla Contractor A,2,Bastacolla OCP,2026-09-04,96
Bastacolla Contractor A,2,Bastacolla OCP,2026-09-05,107
Bastacolla Contractor A,2,Bastacolla OCP,2026-09-06,88
Bastacolla Contractor A,2,Bastacolla OCP,2026-09-07,105
Bastacolla Contractor A,2,Bastacolla OCP,2026-09-08,95
Bastacolla Contractor A,2,Bastacolla OCP,2026-09-09,104
Bastacolla Contractor A,2,Bastacolla OCP,2026-09-10,95
Bastacolla Contractor A,2,Bastacolla OCP,2026-09-11,99
Bastacolla Contractor A,2,Bastacolla OCP,2026-09-12,95
Bastacolla Contractor A,2,Bastacolla OCP,2026-09-13,98
Bastacolla Contractor A,2,Bastacolla OCP,2026-09-14,109
Bastacolla Contractor A,2,Bastacolla OCP,2026-09-15,99
Bastacolla Contractor A,2,Bastacolla OCP,2026-09-16,110
Bastacolla Contractor A,2,Bastacolla OCP,2026-09-17,98
Bastacolla Contractor A,2,Bastacolla OCP,2026-09-18,107
Bastacolla Contractor A,2,Bastacolla OCP,2026-09-19,91
